Freq.	V(out)
2.58000000000000e+07	(-8.50969528124797e+01dB,-1.19218930125842e+02°)
2.60000000000000e+07	(-7.77030330723380e+01dB,-8.84622875410608e+01°)
2.62000000000000e+07	(-7.49765231574756e+01dB,-1.24832124783658e+02°)
2.64000000000000e+07	(-7.57851621534882e+01dB,-1.31358296591034e+02°)
2.66000000000000e+07	(-7.19286987076110e+01dB,-1.41664746519702e+02°)
2.68000000000000e+07	(-7.02301820654262e+01dB,-1.74855029588247e+02°)
2.70000000000000e+07	(-7.11945805072675e+01dB,1.54451034799570e+02°)
2.72000000000000e+07	(-7.30624932773505e+01dB,1.32267636240717e+02°)
2.74000000000000e+07	(-7.53581571070917e+01dB,1.15332680542214e+02°)
2.76000000000000e+07	(-7.74590520624888e+01dB,1.09922501921151e+02°)
2.78000000000000e+07	(-7.86867201107725e+01dB,9.83253845142811e+01°)
2.80000000000000e+07	(-8.13256905126944e+01dB,8.75437322429606e+01°)
2.82000000000000e+07	(-8.34107796247648e+01dB,9.17324401802300e+01°)
2.84000000000000e+07	(-8.58823202612089e+01dB,7.56342133303586e+01°)
2.86000000000000e+07	(-8.82348017859217e+01dB,8.70585368321414e+01°)
2.88000000000000e+07	(-8.71710750912141e+01dB,1.06592464987143e+02°)
2.90000000000000e+07	(-8.87044802389392e+01dB,9.03775688250582e+01°)
2.92000000000000e+07	(-8.84547521863573e+01dB,1.09303617688710e+02°)
2.94000000000000e+07	(-8.86354380002530e+01dB,9.79768550340325e+01°)
2.96000000000000e+07	(-9.05895954323049e+01dB,9.48694354831426e+01°)
2.98000000000000e+07	(-8.97309599573160e+01dB,1.01174145081207e+02°)
3.00000000000000e+07	(-9.07352687845288e+01dB,7.64358375804629e+01°)
3.02000000000000e+07	(-9.16650127288362e+01dB,9.12339846802628e+01°)
3.04000000000000e+07	(-9.39769641432770e+01dB,1.05847432427931e+02°)
3.06000000000000e+07	(-9.48831464066143e+01dB,9.79264078201646e+01°)
3.08000000000000e+07	(-9.27925923219262e+01dB,1.02753885222483e+02°)
3.10000000000000e+07	(-9.45525464060024e+01dB,1.20656447709321e+02°)
3.12000000000000e+07	(-9.22506681539197e+01dB,1.07009763736154e+02°)
3.14000000000000e+07	(-9.17119500942098e+01dB,1.07432580548722e+02°)
3.16000000000000e+07	(-9.14327082407149e+01dB,1.05354561749114e+02°)
3.18000000000000e+07	(-9.02276344308230e+01dB,9.00456688720706e+01°)
3.20000000000000e+07	(-9.42983452649708e+01dB,7.57283963120172e+01°)
3.22000000000000e+07	(-9.48209508981140e+01dB,9.97002514583325e+01°)
3.24000000000000e+07	(-9.15642051287835e+01dB,8.07401571199219e+01°)
3.26000000000000e+07	(-9.50185283073692e+01dB,9.25960892966160e+01°)
3.28000000000000e+07	(-9.53635247037585e+01dB,9.74317353628041e+01°)
3.30000000000000e+07	(-9.47950158503071e+01dB,8.70208890196060e+01°)
3.32000000000000e+07	(-9.44980526063413e+01dB,8.74592218245316e+01°)
3.34000000000000e+07	(-9.36901047186490e+01dB,9.92741617533610e+01°)
3.36000000000000e+07	(-9.72491278926266e+01dB,6.97570490590938e+01°)
3.38000000000000e+07	(-9.41667106191069e+01dB,9.37085535800976e+01°)
3.40000000000000e+07	(-9.54428307380900e+01dB,6.08882264563566e+01°)
3.42000000000000e+07	(-9.72787655143498e+01dB,6.43814347368095e+01°)
3.44000000000000e+07	(-9.51438632436956e+01dB,7.54135730525838e+01°)
3.46000000000000e+07	(-1.24915730683711e+02dB,-1.75063694742309e+02°)
3.48000000000000e+07	(-9.78743784582352e+01dB,7.88415575340096e+01°)
3.50000000000000e+07	(-1.01498308057661e+02dB,5.26160818744747e+01°)
3.52000000000000e+07	(-9.95478162979998e+01dB,8.39826028958639e+01°)
3.54000000000000e+07	(-1.09672345519909e+02dB,1.73077486819894e+02°)
3.56000000000000e+07	(-9.75058996047291e+01dB,1.15088753194771e+02°)
