Freq.	V(out)
3.20000000000000e+07	(-8.30630715201107e+01dB,1.58135860560202e+02°)
3.22000000000000e+07	(-8.09710368196491e+01dB,3.12772619703758e+00°)
3.24000000000000e+07	(-8.02231057804954e+01dB,-1.63855858510078e+02°)
3.26000000000000e+07	(-8.44780266531468e+01dB,3.77464989653666e+01°)
3.28000000000000e+07	(-9.81238488758320e+01dB,2.80577529481211e+01°)
3.30000000000000e+07	(-8.03446879153616e+01dB,-9.44087513469394e+01°)
3.32000000000000e+07	(-7.65963375337260e+01dB,1.18409849386170e+02°)
3.34000000000000e+07	(-7.58437781156874e+01dB,-2.07667218864561e+01°)
3.36000000000000e+07	(-7.55624115104541e+01dB,-1.68625859321901e+02°)
3.38000000000000e+07	(-7.67853591000196e+01dB,3.43210039993210e+01°)
3.40000000000000e+07	(-7.79230974876420e+01dB,-1.20904560771268e+02°)
3.42000000000000e+07	(-7.87299790339867e+01dB,7.83632729286269e+01°)
3.44000000000000e+07	(-8.04281870700676e+01dB,-9.15967643970604e+01°)
3.46000000000000e+07	(-8.31990517231256e+01dB,8.92588273399019e+01°)
3.48000000000000e+07	(-8.83578658905376e+01dB,-1.11499751088141e+02°)
3.50000000000000e+07	(-8.91939245338581e+01dB,3.75476204002444e+01°)
3.52000000000000e+07	(-8.71101291709762e+01dB,-1.22739500170756e+02°)
3.54000000000000e+07	(-8.63612733799778e+01dB,6.17794565027171e+01°)
3.56000000000000e+07	(-8.94284992531245e+01dB,-1.49466191677221e+02°)
3.58000000000000e+07	(-9.45622801383278e+01dB,-1.84737325002577e+01°)
3.60000000000000e+07	(-9.60742895052533e+01dB,1.74680368277178e+02°)
3.62000000000000e+07	(-8.67123027666979e+01dB,3.12019647529090e+01°)
3.64000000000000e+07	(-8.46656083857501e+01dB,-1.12057350095669e+02°)
3.66000000000000e+07	(-8.20284652035235e+01dB,1.20885669895580e+02°)
3.68000000000000e+07	(-8.14066223774679e+01dB,-3.76176397474405e+01°)
3.70000000000000e+07	(-8.23003898182124e+01dB,1.52748856409962e+02°)
3.72000000000000e+07	(-7.97870444011350e+01dB,-2.42765172382576e+01°)
3.74000000000000e+07	(-7.83227321913354e+01dB,1.61925570500139e+02°)
3.76000000000000e+07	(-7.95248438819050e+01dB,9.56915268893554e+00°)
3.78000000000000e+07	(-7.94957507380680e+01dB,-1.27690484550843e+02°)
3.80000000000000e+07	(-8.09023594359687e+01dB,8.82925442470804e+01°)
3.82000000000000e+07	(-8.29917708344450e+01dB,-4.54052541762866e+01°)
3.84000000000000e+07	(-8.17847794701191e+01dB,1.44845510580250e+02°)
